log_id,user_id,action,resource_type,resource_id,details,ip_address,timestamp,target_user_email,user_email
LOG000007,USER0023,delete,tutor,TUTOR0037,Delete tutor,192.168.92.63,2025-10-30T01:38:44.568027,,
LOG000014,USER0011,create,tutor,TUTOR0040,Create tutor,192.168.7.137,2025-10-30T07:38:44.568069,,
LOG000072,USER0008,logout,assignment,ASSIGNMENT0051,Logout assignment,192.168.109.137,2025-10-30T23:14:44.568405,,
LOG000001,USER0023,create,shift,SHIFT0055,Create shift,192.168.115.67,2025-10-31T05:37:44.567958,,
LOG000023,USER0005,update,assignment,ASSIGNMENT0040,Update assignment,192.168.197.2,2025-10-31T12:32:44.568122,,
LOG000063,USER0014,create,assignment,ASSIGNMENT0065,Create assignment,192.168.92.210,2025-10-31T16:48:44.568354,,
LOG000054,USER0004,update,course,COURSE0066,Update course,192.168.89.39,2025-10-31T17:23:44.568300,,
LOG000002,USER0006,create,appointment,APPOINTMENT0051,Create appointment,192.168.192.247,2025-11-01T01:51:44.567982,,
LOG000005,USER0007,login,shift,SHIFT0008,Login shift,192.168.75.207,2025-11-01T04:36:44.568008,,
LOG000098,USER0019,create,user,USER0033,Create user,192.168.140.165,2025-11-01T07:21:44.568565,,
LOG000029,USER0011,delete,tutor,TUTOR0058,Delete tutor,192.168.109.27,2025-11-01T13:25:44.568155,,
LOG000021,USER0020,update,shift,SHIFT0060,Update shift,192.168.138.24,2025-11-01T18:45:44.568108,,
LOG000041,USER0009,create,tutor,TUTOR0076,Create tutor,192.168.122.94,2025-11-01T22:12:44.568225,,
LOG000055,USER0005,login,tutor,TUTOR0016,Login tutor,192.168.28.180,2025-11-02T02:28:44.568306,,
LOG000060,USER0008,login,assignment,ASSIGNMENT0016,Login assignment,192.168.233.122,2025-11-02T13:27:44.568336,,
LOG000020,USER0020,login,course,COURSE0023,Login course,192.168.218.138,2025-11-03T00:29:44.568103,,
LOG000065,USER0015,delete,course,COURSE0043,Delete course,192.168.55.249,2025-11-03T02:26:44.568365,,
LOG000099,USER0004,create,tutor,TUTOR0088,Create tutor,192.168.57.138,2025-11-03T05:48:44.568570,,
LOG000030,ADMIN001,delete,appointment,APPOINTMENT0020,Delete appointment,192.168.157.175,2025-11-03T09:18:44.568161,,
LOG000026,USER0003,update,shift,SHIFT0017,Update shift,192.168.230.30,2025-11-03T10:33:44.568139,,
LOG000034,USER0020,create,assignment,ASSIGNMENT0099,Create assignment,192.168.213.116,2025-11-03T12:00:44.568185,,
LOG000078,USER0014,update,shift,SHIFT0078,Update shift,192.168.167.61,2025-11-03T16:30:44.568440,,
LOG000045,ADMIN001,login,tutor,TUTOR0081,Login tutor,192.168.73.242,2025-11-04T09:14:44.568249,,
LOG000074,USER0014,create,course,COURSE0076,Create course,192.168.184.111,2025-11-04T13:08:44.568416,,
LOG000004,USER0001,create,course,COURSE0074,Create course,192.168.116.171,2025-11-04T15:22:44.568001,,
LOG000018,USER0018,update,tutor,TUTOR0070,Update tutor,192.168.109.105,2025-11-05T02:42:44.568091,,
LOG000036,USER0012,logout,shift,SHIFT0023,Logout shift,192.168.250.158,2025-11-06T02:03:44.568197,,
LOG000022,USER0002,delete,shift,SHIFT0034,Delete shift,192.168.55.208,2025-11-06T16:48:44.568116,,
LOG000056,USER0002,view,assignment,ASSIGNMENT0021,View assignment,192.168.110.140,2025-11-08T08:37:44.568311,,
LOG000025,USER0014,delete,course,COURSE0059,Delete course,192.168.134.193,2025-11-08T09:34:44.568133,,
LOG000064,USER0017,view,appointment,APPOINTMENT0022,View appointment,192.168.148.196,2025-11-08T15:51:44.568359,,
LOG000050,USER0009,create,appointment,APPOINTMENT0008,Create appointment,192.168.34.37,2025-11-08T21:04:44.568277,,
LOG000027,USER0012,view,user,USER0067,View user,192.168.62.199,2025-11-08T21:32:44.568144,,
LOG000047,USER0023,delete,assignment,ASSIGNMENT0024,Delete assignment,192.168.108.227,2025-11-09T00:31:44.568260,,
LOG000092,USER0020,create,assignment,ASSIGNMENT0055,Create assignment,192.168.25.239,2025-11-09T05:21:44.568526,,
LOG000019,USER0017,delete,tutor,TUTOR0006,Delete tutor,192.168.146.153,2025-11-09T06:09:44.568097,,
LOG000069,USER0014,delete,shift,SHIFT0041,Delete shift,192.168.239.201,2025-11-09T08:22:44.568388,,
LOG000011,USER0004,login,assignment,ASSIGNMENT0018,Login assignment,192.168.30.200,2025-11-10T17:57:44.568051,,
LOG000051,USER0020,update,assignment,ASSIGNMENT0003,Update assignment,192.168.88.178,2025-11-11T02:30:44.568282,,
LOG000100,USER0014,update,shift,SHIFT0017,Update shift,192.168.110.37,2025-11-11T03:49:44.568577,,
LOG000084,USER0004,logout,appointment,APPOINTMENT0097,Logout appointment,192.168.171.176,2025-11-11T11:53:44.568483,,
LOG000090,USER0003,login,appointment,APPOINTMENT0010,Login appointment,192.168.231.173,2025-11-12T02:59:44.568516,,
LOG000038,USER0013,view,user,USER0015,View user,192.168.244.40,2025-11-12T16:40:44.568208,,
LOG000017,USER0008,view,assignment,ASSIGNMENT0097,View assignment,192.168.196.69,2025-11-13T03:32:44.568085,,
LOG000091,USER0007,logout,user,USER0058,Logout user,192.168.66.241,2025-11-13T08:30:44.568521,,
LOG000066,USER0004,create,course,COURSE0059,Create course,192.168.239.238,2025-11-13T22:48:44.568371,,
LOG000073,USER0011,create,shift,SHIFT0042,Create shift,192.168.59.191,2025-11-14T14:53:44.568411,,
LOG000057,USER0002,create,assignment,ASSIGNMENT0002,Create assignment,192.168.250.133,2025-11-14T17:42:44.568320,,
LOG000097,USER0023,create,appointment,APPOINTMENT0037,Create appointment,192.168.37.44,2025-11-15T05:33:44.568559,,
LOG000046,USER0003,delete,user,USER0030,Delete user,192.168.251.12,2025-11-16T06:54:44.568255,,
LOG000094,USER0006,create,appointment,APPOINTMENT0072,Create appointment,192.168.107.145,2025-11-16T15:06:44.568541,,
LOG000086,USER0021,delete,tutor,TUTOR0051,Delete tutor,192.168.226.106,2025-11-16T23:20:44.568494,,
LOG000008,USER0008,delete,tutor,TUTOR0083,Delete tutor,192.168.247.238,2025-11-17T05:22:44.568033,,
LOG000006,USER0012,delete,tutor,TUTOR0036,Delete tutor,192.168.84.97,2025-11-17T10:19:44.568021,,
LOG000071,USER0024,logout,assignment,ASSIGNMENT0065,Logout assignment,192.168.10.146,2025-11-17T18:54:44.568400,,
LOG000039,USER0016,logout,shift,SHIFT0086,Logout shift,192.168.24.227,2025-11-18T09:27:44.568213,,
LOG000012,USER0015,login,course,COURSE0024,Login course,192.168.168.246,2025-11-18T11:54:44.568057,,
LOG000081,USER0012,view,shift,SHIFT0092,View shift,192.168.12.249,2025-11-18T17:46:44.568458,,
LOG000070,USER0018,delete,tutor,TUTOR0040,Delete tutor,192.168.37.167,2025-11-18T21:23:44.568394,,
LOG000096,USER0014,login,shift,SHIFT0096,Login shift,192.168.18.136,2025-11-18T23:51:44.568554,,
LOG000031,USER0019,update,appointment,APPOINTMENT0006,Update appointment,192.168.112.214,2025-11-19T00:25:44.568168,,
LOG000062,USER0023,create,shift,SHIFT0048,Create shift,192.168.79.196,2025-11-19T06:07:44.568348,,
LOG000093,USER0008,delete,appointment,APPOINTMENT0041,Delete appointment,192.168.21.6,2025-11-19T11:52:44.568532,,
LOG000048,USER0024,update,assignment,ASSIGNMENT0090,Update assignment,192.168.100.162,2025-11-19T20:33:44.568266,,
LOG000042,USER0008,delete,user,USER0084,Delete user,192.168.254.234,2025-11-20T10:58:44.568230,,
LOG000085,USER0010,create,course,COURSE0095,Create course,192.168.79.33,2025-11-20T11:37:44.568488,,
LOG000015,USER0021,create,user,USER0004,Create user,192.168.46.61,2025-11-20T15:44:44.568074,,
LOG000033,USER0002,view,appointment,APPOINTMENT0069,View appointment,192.168.236.13,2025-11-20T17:31:44.568179,,
LOG000068,USER0018,logout,tutor,TUTOR0085,Logout tutor,192.168.247.14,2025-11-20T18:03:44.568382,,
LOG000087,USER0021,delete,assignment,ASSIGNMENT0024,Delete assignment,192.168.88.158,2025-11-20T19:14:44.568499,,
LOG000035,USER0012,login,user,USER0016,Login user,192.168.209.125,2025-11-21T08:05:44.568190,,
LOG000049,USER0016,login,assignment,ASSIGNMENT0027,Login assignment,192.168.17.135,2025-11-22T13:31:44.568271,,
LOG000080,USER0025,delete,tutor,TUTOR0015,Delete tutor,192.168.89.151,2025-11-22T17:48:44.568452,,
LOG000028,USER0021,update,assignment,ASSIGNMENT0030,Update assignment,192.168.28.212,2025-11-23T06:28:44.568149,,
LOG000089,USER0006,update,appointment,APPOINTMENT0034,Update appointment,192.168.203.156,2025-11-23T12:20:44.568510,,
LOG000088,USER0009,logout,user,USER0005,Logout user,192.168.151.220,2025-11-23T19:01:44.568505,,
LOG000003,USER0020,view,course,COURSE0002,View course,192.168.52.50,2025-11-23T20:10:44.567992,,
LOG000053,USER0001,logout,appointment,APPOINTMENT0089,Logout appointment,192.168.146.54,2025-11-23T20:21:44.568293,,
LOG000059,USER0003,update,tutor,TUTOR0095,Update tutor,192.168.20.252,2025-11-24T04:44:44.568331,,
LOG000075,USER0013,login,tutor,TUTOR0031,Login tutor,192.168.161.47,2025-11-24T18:52:44.568421,,
LOG000037,USER0002,login,user,USER0085,Login user,192.168.216.139,2025-11-24T23:23:44.568202,,
LOG000043,USER0017,delete,assignment,ASSIGNMENT0032,Delete assignment,192.168.102.129,2025-11-25T02:44:44.568237,,
LOG000077,USER0007,logout,shift,SHIFT0087,Logout shift,192.168.172.178,2025-11-25T06:05:44.568432,,
LOG000040,USER0016,delete,user,USER0069,Delete user,192.168.143.116,2025-11-25T16:29:44.568219,,
LOG000095,USER0021,delete,course,COURSE0037,Delete course,192.168.174.111,2025-11-25T23:58:44.568548,,
LOG000076,USER0006,login,tutor,TUTOR0033,Login tutor,192.168.151.159,2025-11-26T00:22:44.568427,,
LOG000009,USER0024,create,appointment,APPOINTMENT0057,Create appointment,192.168.179.182,2025-11-26T01:49:44.568039,,
LOG000032,USER0013,create,user,USER0073,Create user,192.168.217.179,2025-11-26T14:13:44.568174,,
LOG000044,USER0001,logout,assignment,ASSIGNMENT0073,Logout assignment,192.168.60.214,2025-11-27T01:58:44.568244,,
LOG000083,USER0018,create,appointment,APPOINTMENT0029,Create appointment,192.168.116.33,2025-11-27T07:18:44.568477,,
LOG000079,USER0010,delete,assignment,ASSIGNMENT0030,Delete assignment,192.168.133.136,2025-11-27T08:42:44.568445,,
LOG000016,USER0016,delete,user,USER0084,Delete user,192.168.232.24,2025-11-27T13:28:44.568080,,
LOG000082,USER0001,update,appointment,APPOINTMENT0023,Update appointment,192.168.134.99,2025-11-27T19:05:44.568471,,
LOG000052,USER0018,delete,assignment,ASSIGNMENT0006,Delete assignment,192.168.251.178,2025-11-28T05:04:44.568288,,
