availability_id,tutor_id,day_of_week,start_time,end_time,is_recurring,slot_status,effective_date,end_date
AVL_0,2115580,Wednesday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_1,2115580,Monday,16:00:00,18:00:00,True,available,2025-01-01,2025-12-31
AVL_2,2115580,Saturday,15:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_3,2115580,Saturday,15:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_4,2115580,Saturday,13:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_5,2115580,Friday,13:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_6,2115580,Tuesday,08:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_7,2192067,Thursday,11:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_8,2192067,Monday,10:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_9,2425166,Monday,12:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_10,2425166,Wednesday,10:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_11,2425166,Monday,08:00:00,10:00:00,True,available,2025-01-01,2025-12-31
AVL_12,2425166,Wednesday,17:00:00,20:00:00,True,available,2025-01-01,2025-12-31
AVL_13,2425166,Wednesday,13:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_14,2425166,Sunday,10:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_15,2425166,Tuesday,14:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_16,2425166,Thursday,10:00:00,12:00:00,True,available,2025-01-01,2025-12-31
AVL_17,2425166,Wednesday,09:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_18,2425166,Saturday,11:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_19,2598056,Wednesday,10:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_20,2598056,Saturday,12:00:00,15:00:00,True,available,2025-01-01,2025-12-31
AVL_21,2598056,Sunday,17:00:00,20:00:00,True,available,2025-01-01,2025-12-31
AVL_22,2598056,Tuesday,14:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_23,2598056,Monday,13:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_24,2598056,Wednesday,14:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_25,2598056,Monday,16:00:00,18:00:00,True,available,2025-01-01,2025-12-31
AVL_26,2598056,Monday,13:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_27,2598056,Sunday,17:00:00,19:00:00,True,available,2025-01-01,2025-12-31
AVL_28,2598056,Friday,13:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_29,2598056,Saturday,11:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_30,2630571,Monday,15:00:00,17:00:00,True,available,2025-01-01,2025-12-31
AVL_31,2630571,Thursday,12:00:00,14:00:00,True,available,2025-01-01,2025-12-31
AVL_32,2630571,Sunday,10:00:00,13:00:00,True,available,2025-01-01,2025-12-31
AVL_33,2630571,Friday,08:00:00,11:00:00,True,available,2025-01-01,2025-12-31
AVL_34,2630571,Sunday,14:00:00,16:00:00,True,available,2025-01-01,2025-12-31
AVL_35,2630571,Sunday,16:00:00,18:00:00,True,available,2025-01-01,2025-12-31
AVL_36,2701634,Wednesday,13:00:00,15:00:00,True,available,2025-01-01,2025-12-31
